direction,type,hex,Full
1,0000000100000000,845a0100000100000000000008796574696372616203736f7304626f61740000010001,1000010001011010000000010000000000000000000000010000000000000000000000000000000000000000000000000000100001111001011001010111010001101001011000110111001001100001011000100000001101110011011011110111001100000100011000100110111101100001011101000000000000000000000000010000000000000001
0,1000010110000000,845a8580000100020000000008796574696372616203736f7304626f61740000010001c00c0001000100000e100004c0a8dc14c00c0001000100000e100004c0a80014,10000100010110101000010110000000000000000000000100000000000000100000000000000000000000000000000000001000011110010110010101110100011010010110001101110010011000010110001000000011011100110110111101110011000001000110001001101111011000010111010000000000000000000000000100000000000000011100000000001100000000000000000100000000000000010000000000000000000011100001000000000000000001001100000010101000110111000001010011000000000011000000000000000001000000000000000100000000000000000000111000010000000000000000010011000000101010000000000000010100
1,0000000100000000,c37a01000001000000000000095f6b65726265726f7303534f5304424f41540001000001,110000110111101000000001000000000000000000000001000000000000000000000000000000000000000000000000000010010101111101101011011001010111001001100010011001010111001001101111011100110000001101010011010011110101001100000100010000100100111101000001010101000000000000000001000000000000000000000001
0,1000010110000011,c37a85830001000000010000095f6b65726265726f7303534f5304424f4154000100000103736f7304626f6174000006000100000e10002c087965746963726162c0240a686f73746d6173746572c0240000046500000384000002580001518000000e10,11000011011110101000010110000011000000000000000100000000000000000000000000000001000000000000000000001001010111110110101101100101011100100110001001100101011100100110111101110011000000110101001101001111010100110000010001000010010011110100000101010100000000000000000100000000000000000000000100000011011100110110111101110011000001000110001001101111011000010111010000000000000000000000011000000000000000010000000000000000000011100001000000000000001011000000100001111001011001010111010001101001011000110111001001100001011000101100000000100100000010100110100001101111011100110111010001101101011000010111001101110100011001010111001011000000001001000000000000000000000001000110010100000000000000000000001110000100000000000000000000000010010110000000000000000001010100011000000000000000000000000000111000010000
1,0000000100000000,37e701000001000000000000095f6b65726265726f73045f75647003534f5304424f41540000210001,0011011111100111000000010000000000000000000000010000000000000000000000000000000000000000000000000000100101011111011010110110010101110010011000100110010101110010011011110111001100000100010111110111010101100100011100000000001101010011010011110101001100000100010000100100111101000001010101000000000000000000001000010000000000000001
0,1000010110000000,37e785800001000200000003095f6b65726265726f73045f75647003534f5304424f41540000210001c00c0021000100000258001900000064005808796574696372616203736f7304626f617400c00c0021000100000258001b0000006400580a5465786173546f61737403736f7304626f617400c03b0001000100000e100004c0a8dc14c03b0001000100000e100004c0a80014c0600001000100000e100004c0a8dc15,001101111110011110000101100000000000000000000001000000000000001000000000000000000000000000000011000010010101111101101011011001010111001001100010011001010111001001101111011100110000010001011111011101010110010001110000000000110101001101001111010100110000010001000010010011110100000101010100000000000000000000100001000000000000000111000000000011000000000000100001000000000000000100000000000000000000001001011000000000000001100100000000000000000000000001100100000000000101100000001000011110010110010101110100011010010110001101110010011000010110001000000011011100110110111101110011000001000110001001101111011000010111010000000000110000000000110000000000001000010000000000000001000000000000000000000010010110000000000000011011000000000000000000000000011001000000000001011000000010100101010001100101011110000110000101110011010101000110111101100001011100110111010000000011011100110110111101110011000001000110001001101111011000010111010000000000110000000011101100000000000000010000000000000001000000000000000000001110000100000000000000000100110000001010100011011100000101001100000000111011000000000000000100000000000000010000000000000000000011100001000000000000000001001100000010101000000000000001010011000000011000000000000000000001000000000000000100000000000000000000111000010000000000000000010011000000101010001101110000010101
1,0000000100000000,e50701000001000000000000095f6b65726265726f73045f74637003534f5304424f41540000210001,1110010100000111000000010000000000000000000000010000000000000000000000000000000000000000000000000000100101011111011010110110010101110010011000100110010101110010011011110111001100000100010111110111010001100011011100000000001101010011010011110101001100000100010000100100111101000001010101000000000000000000001000010000000000000001
0,1000010110000000,e50785800001000200000003095f6b65726265726f73045f74637003534f5304424f41540000210001c00c0021000100000258001b0000006400580a5465786173546f61737403736f7304626f617400c00c0021000100000258001900000064005808796574696372616203736f7304626f617400c03b0001000100000e100004c0a8dc15c0620001000100000e100004c0a8dc14c0620001000100000e100004c0a80014,111001010000011110000101100000000000000000000001000000000000001000000000000000000000000000000011000010010101111101101011011001010111001001100010011001010111001001101111011100110000010001011111011101000110001101110000000000110101001101001111010100110000010001000010010011110100000101010100000000000000000000100001000000000000000111000000000011000000000000100001000000000000000100000000000000000000001001011000000000000001101100000000000000000000000001100100000000000101100000001010010101000110010101111000011000010111001101010100011011110110000101110011011101000000001101110011011011110111001100000100011000100110111101100001011101000000000011000000000011000000000000100001000000000000000100000000000000000000001001011000000000000001100100000000000000000000000001100100000000000101100000001000011110010110010101110100011010010110001101110010011000010110001000000011011100110110111101110011000001000110001001101111011000010111010000000000110000000011101100000000000000010000000000000001000000000000000000001110000100000000000000000100110000001010100011011100000101011100000001100010000000000000000100000000000000010000000000000000000011100001000000000000000001001100000010101000110111000001010011000000011000100000000000000001000000000000000100000000000000000000111000010000000000000000010011000000101010000000000000010100
1,0000000100000000,21ee0100000100000000000008796574696372616203736f7304626f61740000010001,0010000111101110000000010000000000000000000000010000000000000000000000000000000000000000000000000000100001111001011001010111010001101001011000110111001001100001011000100000001101110011011011110111001100000100011000100110111101100001011101000000000000000000000000010000000000000001
1,0000000100000000,44ba0100000100000000000008796574696372616203736f7304626f617400001c0001,0100010010111010000000010000000000000000000000010000000000000000000000000000000000000000000000000000100001111001011001010111010001101001011000110111001001100001011000100000001101110011011011110111001100000100011000100110111101100001011101000000000000000000000111000000000000000001
