direction,type,hex,Full
0,001100100011001000110000,3232302d46696c655a696c6c612053657276657220302e392e363020626574610d0a3232302d0d0a3232302d57454c434f4d4520544f2050524f445543542053544f524147450d0a3232302d0d0a3232302d53746f72616765206174202f646174612f0d0a3232302d2f646174612f726f6f740d0a3232302d2f646174612f626f6f740d0a3232302d2f646174612f7765620d0a323230202f646174612f646174610d0a,0011001000110010001100000010110101000110011010010110110001100101010110100110100101101100011011000110000100100000010100110110010101110010011101100110010101110010001000000011000000101110001110010010111000110110001100000010000001100010011001010111010001100001000011010000101000110010001100100011000000101101000011010000101000110010001100100011000000101101010101110100010101001100010000110100111101001101010001010010000001010100010011110010000001010000010100100100111101000100010101010100001101010100001000000101001101010100010011110101001001000001010001110100010100001101000010100011001000110010001100000010110100001101000010100011001000110010001100000010110101010011011101000110111101110010011000010110011101100101001000000110000101110100001000000010111101100100011000010111010001100001001011110000110100001010001100100011001000110000001011010010111101100100011000010111010001100001001011110111001001101111011011110111010000001101000010100011001000110010001100000010110100101111011001000110000101110100011000010010111101100010011011110110111101110100000011010000101000110010001100100011000000101101001011110110010001100001011101000110000100101111011101110110010101100010000011010000101000110010001100100011000000100000001011110110010001100001011101000110000100101111011001000110000101110100011000010000110100001010
0,001100100011001000110000,3232302d46696c655a696c6c612053657276657220302e392e363020626574610d0a3232302d0d0a3232302d57454c434f4d4520544f2050524f445543542053544f524147450d0a3232302d0d0a3232302d53746f72616765206174202f646174612f0d0a3232302d2f646174612f726f6f740d0a3232302d2f646174612f626f6f740d0a3232302d2f646174612f7765620d0a323230202f646174612f646174610d0a,0011001000110010001100000010110101000110011010010110110001100101010110100110100101101100011011000110000100100000010100110110010101110010011101100110010101110010001000000011000000101110001110010010111000110110001100000010000001100010011001010111010001100001000011010000101000110010001100100011000000101101000011010000101000110010001100100011000000101101010101110100010101001100010000110100111101001101010001010010000001010100010011110010000001010000010100100100111101000100010101010100001101010100001000000101001101010100010011110101001001000001010001110100010100001101000010100011001000110010001100000010110100001101000010100011001000110010001100000010110101010011011101000110111101110010011000010110011101100101001000000110000101110100001000000010111101100100011000010111010001100001001011110000110100001010001100100011001000110000001011010010111101100100011000010111010001100001001011110111001001101111011011110111010000001101000010100011001000110010001100000010110100101111011001000110000101110100011000010010111101100010011011110110111101110100000011010000101000110010001100100011000000101101001011110110010001100001011101000110000100101111011101110110010101100010000011010000101000110010001100100011000000100000001011110110010001100001011101000110000100101111011001000110000101110100011000010000110100001010
1,01010101010100110100010101010010,55534552207761796e650d0a,010101010101001101000101010100100010000001110111011000010111100101101110011001010000110100001010
1,01010101010100110100010101010010,55534552207761796e650d0a,010101010101001101000101010100100010000001110111011000010111100101101110011001010000110100001010
0,001100110011001100110001,3333312050617373776f726420726571756972656420666f72207761796e650d0a,001100110011001100110001001000000101000001100001011100110111001101110111011011110111001001100100001000000111001001100101011100010111010101101001011100100110010101100100001000000110011001101111011100100010000001110111011000010111100101101110011001010000110100001010
0,001100110011001100110001,3333312050617373776f726420726571756972656420666f72207761796e650d0a,001100110011001100110001001000000101000001100001011100110111001101110111011011110111001001100100001000000111001001100101011100010111010101101001011100100110010101100100001000000110011001101111011100100010000001110111011000010111100101101110011001010000110100001010
1,01010000010000010101001101010011,5041535320536563757265313939390d0a,0101000001000001010100110101001100100000010100110110010101100011011101010111001001100101001100010011100100111001001110010000110100001010
1,01010000010000010101001101010011,5041535320536563757265313939390d0a,0101000001000001010100110101001100100000010100110110010101100011011101010111001001100101001100010011100100111001001110010000110100001010
0,001100100011001100110000,323330204c6f67676564206f6e0d0a,001100100011001100110000001000000100110001101111011001110110011101100101011001000010000001101111011011100000110100001010
0,001100100011001100110000,323330204c6f67676564206f6e0d0a,001100100011001100110000001000000100110001101111011001110110011101100101011001000010000001101111011011100000110100001010
