direction,type,hex,Full
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
1,01010101010100110100010101010010,55534552206763696e64790d0a,01010101010100110100010101010010001000000110011101100011011010010110111001100100011110010000110100001010
1,01010101010100110100010101010010,55534552206763696e64790d0a,01010101010100110100010101010010001000000110011101100011011010010110111001100100011110010000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
1,01010000010000010101001101010011,504153532035326771793462790d0a,010100000100000101010011010100110010000000110101001100100110011101110001011110010011010001100010011110010000110100001010
1,01010000010000010101001101010011,504153532035326771793462790d0a,010100000100000101010011010100110010000000110101001100100110011101110001011110010011010001100010011110010000110100001010
0,001010110100111101001011,2b4f4b207365727665722072656164790d0a,001010110100111101001011001000000111001101100101011100100111011001100101011100100010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b207365727665722072656164790d0a,001010110100111101001011001000000111001101100101011100100111011001100101011100100010000001110010011001010110000101100100011110010000110100001010
1,01001100010010010101001101010100,4c4953540d0a,010011000100100101010011010101000000110100001010
1,01001100010010010101001101010100,4c4953540d0a,010011000100100101010011010101000000110100001010
0,001010110100111101001011,2b4f4b2037206d657373616765730d0a3120323236360d0a3220313637340d0a3320313732380d0a3420313838360d0a3520313732320d0a3620313733350d0a3720313732320d0a2e0d0a,001010110100111101001011001000000011011100100000011011010110010101110011011100110110000101100111011001010111001100001101000010100011000100100000001100100011001000110110001101100000110100001010001100100010000000110001001101100011011100110100000011010000101000110011001000000011000100110111001100100011100000001101000010100011010000100000001100010011100000111000001101100000110100001010001101010010000000110001001101110011001000110010000011010000101000110110001000000011000100110111001100110011010100001101000010100011011100100000001100010011011100110010001100100000110100001010001011100000110100001010
0,001010110100111101001011,2b4f4b2037206d657373616765730d0a3120323236360d0a3220313637340d0a3320313732380d0a3420313838360d0a3520313732320d0a3620313733350d0a3720313732320d0a2e0d0a,001010110100111101001011001000000011011100100000011011010110010101110011011100110110000101100111011001010111001100001101000010100011000100100000001100100011001000110110001101100000110100001010001100100010000000110001001101100011011100110100000011010000101000110011001000000011000100110111001100100011100000001101000010100011010000100000001100010011100000111000001101100000110100001010001101010010000000110001001101110011001000110010000011010000101000110110001000000011000100110111001100110011010100001101000010100011011100100000001100010011011100110010001100100000110100001010001011100000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
0,001010110100111101001011,2b4f4b207465727269626c656c6f62737465722e736f732e626f6174205a696d62726120504f50332073657276657220636c6f73696e6720636f6e6e656374696f6e0d0a,0010101101001111010010110010000001110100011001010111001001110010011010010110001001101100011001010110110001101111011000100111001101110100011001010111001000101110011100110110111101110011001011100110001001101111011000010111010000100000010110100110100101101101011000100111001001100001001000000101000001001111010100000011001100100000011100110110010101110010011101100110010101110010001000000110001101101100011011110111001101101001011011100110011100100000011000110110111101101110011011100110010101100011011101000110100101101111011011100000110100001010
0,001010110100111101001011,2b4f4b207465727269626c656c6f62737465722e736f732e626f6174205a696d62726120504f50332073657276657220636c6f73696e6720636f6e6e656374696f6e0d0a,0010101101001111010010110010000001110100011001010111001001110010011010010110001001101100011001010110110001101111011000100111001101110100011001010111001000101110011100110110111101110011001011100110001001101111011000010111010000100000010110100110100101101101011000100111001001100001001000000101000001001111010100000011001100100000011100110110010101110010011101100110010101110010001000000110001101101100011011110111001101101001011011100110011100100000011000110110111101101110011011100110010101100011011101000110100101101111011011100000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
1,01010101010100110100010101010010,555345522067677265656e790d0a,0101010101010011010001010101001000100000011001110110011101110010011001010110010101101110011110010000110100001010
1,01010101010100110100010101010010,555345522067677265656e790d0a,0101010101010011010001010101001000100000011001110110011101110010011001010110010101101110011110010000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
1,01010000010000010101001101010011,50415353206b746e386c627a770d0a,010100000100000101010011010100110010000001101011011101000110111000111000011011000110001001111010011101110000110100001010
1,01010000010000010101001101010011,50415353206b746e386c627a770d0a,010100000100000101010011010100110010000001101011011101000110111000111000011011000110001001111010011101110000110100001010
0,001010110100111101001011,2b4f4b207365727665722072656164790d0a,001010110100111101001011001000000111001101100101011100100111011001100101011100100010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b207365727665722072656164790d0a,001010110100111101001011001000000111001101100101011100100111011001100101011100100010000001110010011001010110000101100100011110010000110100001010
1,01001100010010010101001101010100,4c4953540d0a,010011000100100101010011010101000000110100001010
1,01001100010010010101001101010100,4c4953540d0a,010011000100100101010011010101000000110100001010
0,001010110100111101001011,2b4f4b203131206d657373616765730d0a3120323237310d0a3220313738340d0a3320313737370d0a3420313638330d0a3520313739320d0a3620313732350d0a3720313738320d0a3820313733360d0a3920313733310d0a313020313734370d0a313120313737390d0a2e0d0a,0010101101001111010010110010000000110001001100010010000001101101011001010111001101110011011000010110011101100101011100110000110100001010001100010010000000110010001100100011011100110001000011010000101000110010001000000011000100110111001110000011010000001101000010100011001100100000001100010011011100110111001101110000110100001010001101000010000000110001001101100011100000110011000011010000101000110101001000000011000100110111001110010011001000001101000010100011011000100000001100010011011100110010001101010000110100001010001101110010000000110001001101110011100000110010000011010000101000111000001000000011000100110111001100110011011000001101000010100011100100100000001100010011011100110011001100010000110100001010001100010011000000100000001100010011011100110100001101110000110100001010001100010011000100100000001100010011011100110111001110010000110100001010001011100000110100001010
0,001010110100111101001011,2b4f4b203131206d657373616765730d0a3120323237310d0a3220313738340d0a3320313737370d0a3420313638330d0a3520313739320d0a3620313732350d0a3720313738320d0a3820313733360d0a3920313733310d0a313020313734370d0a313120313737390d0a2e0d0a,0010101101001111010010110010000000110001001100010010000001101101011001010111001101110011011000010110011101100101011100110000110100001010001100010010000000110010001100100011011100110001000011010000101000110010001000000011000100110111001110000011010000001101000010100011001100100000001100010011011100110111001101110000110100001010001101000010000000110001001101100011100000110011000011010000101000110101001000000011000100110111001110010011001000001101000010100011011000100000001100010011011100110010001101010000110100001010001101110010000000110001001101110011100000110010000011010000101000111000001000000011000100110111001100110011011000001101000010100011100100100000001100010011011100110011001100010000110100001010001100010011000000100000001100010011011100110100001101110000110100001010001100010011000100100000001100010011011100110111001110010000110100001010001011100000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
0,001010110100111101001011,2b4f4b207465727269626c656c6f62737465722e736f732e626f6174205a696d62726120504f50332073657276657220636c6f73696e6720636f6e6e656374696f6e0d0a,0010101101001111010010110010000001110100011001010111001001110010011010010110001001101100011001010110110001101111011000100111001101110100011001010111001000101110011100110110111101110011001011100110001001101111011000010111010000100000010110100110100101101101011000100111001001100001001000000101000001001111010100000011001100100000011100110110010101110010011101100110010101110010001000000110001101101100011011110111001101101001011011100110011100100000011000110110111101101110011011100110010101100011011101000110100101101111011011100000110100001010
0,001010110100111101001011,2b4f4b207465727269626c656c6f62737465722e736f732e626f6174205a696d62726120504f50332073657276657220636c6f73696e6720636f6e6e656374696f6e0d0a,0010101101001111010010110010000001110100011001010111001001110010011010010110001001101100011001010110110001101111011000100111001101110100011001010111001000101110011100110110111101110011001011100110001001101111011000010111010000100000010110100110100101101101011000100111001001100001001000000101000001001111010100000011001100100000011100110110010101110010011101100110010101110010001000000110001101101100011011110111001101101001011011100110011100100000011000110110111101101110011011100110010101100011011101000110100101101111011011100000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b20504f50332072656164790d0a,00101011010011110100101100100000010100000100111101010000001100110010000001110010011001010110000101100100011110010000110100001010
1,01010101010100110100010101010010,555345522068666c790d0a,0101010101010011010001010101001000100000011010000110011001101100011110010000110100001010
1,01010101010100110100010101010010,555345522068666c790d0a,0101010101010011010001010101001000100000011010000110011001101100011110010000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
0,001010110100111101001011,2b4f4b0d0a,0010101101001111010010110000110100001010
1,01010000010000010101001101010011,504153532077637274777579380d0a,010100000100000101010011010100110010000001110111011000110111001001110100011101110111010101111001001110000000110100001010
1,01010000010000010101001101010011,504153532077637274777579380d0a,010100000100000101010011010100110010000001110111011000110111001001110100011101110111010101111001001110000000110100001010
0,001010110100111101001011,2b4f4b207365727665722072656164790d0a,001010110100111101001011001000000111001101100101011100100111011001100101011100100010000001110010011001010110000101100100011110010000110100001010
0,001010110100111101001011,2b4f4b207365727665722072656164790d0a,001010110100111101001011001000000111001101100101011100100111011001100101011100100010000001110010011001010110000101100100011110010000110100001010
1,01001100010010010101001101010100,4c4953540d0a,010011000100100101010011010101000000110100001010
1,01001100010010010101001101010100,4c4953540d0a,010011000100100101010011010101000000110100001010
0,001010110100111101001011,2b4f4b203131206d657373616765730d0a3120323235300d0a3220313737310d0a3320313638390d0a3420313736330d0a3520313732390d0a3620313834390d0a3720313732350d0a3820313637360d0a3920313638380d0a313020313735310d0a313120313734330d0a2e0d0a,0010101101001111010010110010000000110001001100010010000001101101011001010111001101110011011000010110011101100101011100110000110100001010001100010010000000110010001100100011010100110000000011010000101000110010001000000011000100110111001101110011000100001101000010100011001100100000001100010011011000111000001110010000110100001010001101000010000000110001001101110011011000110011000011010000101000110101001000000011000100110111001100100011100100001101000010100011011000100000001100010011100000110100001110010000110100001010001101110010000000110001001101110011001000110101000011010000101000111000001000000011000100110110001101110011011000001101000010100011100100100000001100010011011000111000001110000000110100001010001100010011000000100000001100010011011100110101001100010000110100001010001100010011000100100000001100010011011100110100001100110000110100001010001011100000110100001010
0,001010110100111101001011,2b4f4b203131206d657373616765730d0a3120323235300d0a3220313737310d0a3320313638390d0a3420313736330d0a3520313732390d0a3620313834390d0a3720313732350d0a3820313637360d0a3920313638380d0a313020313735310d0a313120313734330d0a2e0d0a,0010101101001111010010110010000000110001001100010010000001101101011001010111001101110011011000010110011101100101011100110000110100001010001100010010000000110010001100100011010100110000000011010000101000110010001000000011000100110111001101110011000100001101000010100011001100100000001100010011011000111000001110010000110100001010001101000010000000110001001101110011011000110011000011010000101000110101001000000011000100110111001100100011100100001101000010100011011000100000001100010011100000110100001110010000110100001010001101110010000000110001001101110011001000110101000011010000101000111000001000000011000100110110001101110011011000001101000010100011100100100000001100010011011000111000001110000000110100001010001100010011000000100000001100010011011100110101001100010000110100001010001100010011000100100000001100010011011100110100001100110000110100001010001011100000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
1,01010001010101010100100101010100,515549540d0a,010100010101010101001001010101000000110100001010
0,001010110100111101001011,2b4f4b207465727269626c656c6f62737465722e736f732e626f6174205a696d62726120504f50332073657276657220636c6f73696e6720636f6e6e656374696f6e0d0a,0010101101001111010010110010000001110100011001010111001001110010011010010110001001101100011001010110110001101111011000100111001101110100011001010111001000101110011100110110111101110011001011100110001001101111011000010111010000100000010110100110100101101101011000100111001001100001001000000101000001001111010100000011001100100000011100110110010101110010011101100110010101110010001000000110001101101100011011110111001101101001011011100110011100100000011000110110111101101110011011100110010101100011011101000110100101101111011011100000110100001010
0,001010110100111101001011,2b4f4b207465727269626c656c6f62737465722e736f732e626f6174205a696d62726120504f50332073657276657220636c6f73696e6720636f6e6e656374696f6e0d0a,0010101101001111010010110010000001110100011001010111001001110010011010010110001001101100011001010110110001101111011000100111001101110100011001010111001000101110011100110110111101110011001011100110001001101111011000010111010000100000010110100110100101101101011000100111001001100001001000000101000001001111010100000011001100100000011100110110010101110010011101100110010101110010001000000110001101101100011011110111001101101001011011100110011100100000011000110110111101101110011011100110010101100011011101000110100101101111011011100000110100001010
